file_path,file_name,vulnerability_status,cwe_label
source\python-packages-1757595213589\source\pip\__init__.py,__init__.py,Benign,Benign
source\python-packages-1757595213589\source\pip\__main__.py,__main__.py,Benign,Benign
source\python-packages-1757595213589\source\pip\__pip-runner__.py,__pip-runner__.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\build_env.py,build_env.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\cache.py,cache.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\configuration.py,configuration.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\exceptions.py,exceptions.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\main.py,main.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\pyproject.py,pyproject.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\self_outdated_check.py,self_outdated_check.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\wheel_builder.py,wheel_builder.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\__init__.py,__init__.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\cli\autocompletion.py,autocompletion.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\cli\base_command.py,base_command.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\cli\cmdoptions.py,cmdoptions.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\cli\command_context.py,command_context.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\cli\index_command.py,index_command.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\cli\main.py,main.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\cli\main_parser.py,main_parser.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\cli\parser.py,parser.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\cli\progress_bars.py,progress_bars.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\cli\req_command.py,req_command.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\cli\spinners.py,spinners.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\cli\status_codes.py,status_codes.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\cli\__init__.py,__init__.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\commands\cache.py,cache.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\commands\check.py,check.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\commands\completion.py,completion.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\commands\configuration.py,configuration.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\commands\debug.py,debug.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\commands\download.py,download.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\commands\freeze.py,freeze.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\commands\hash.py,hash.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\commands\help.py,help.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\commands\index.py,index.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\commands\inspect.py,inspect.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\commands\install.py,install.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\commands\list.py,list.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\commands\lock.py,lock.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\commands\search.py,search.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\commands\show.py,show.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\commands\uninstall.py,uninstall.py,Vulnerable,CWE-94
source\python-packages-1757595213589\source\pip\_internal\commands\wheel.py,wheel.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\commands\__init__.py,__init__.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\distributions\base.py,base.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\distributions\installed.py,installed.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\distributions\sdist.py,sdist.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\distributions\wheel.py,wheel.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\distributions\__init__.py,__init__.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\index\collector.py,collector.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\index\package_finder.py,package_finder.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\index\sources.py,sources.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\index\__init__.py,__init__.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\locations\base.py,base.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\locations\_distutils.py,_distutils.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\locations\_sysconfig.py,_sysconfig.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\locations\__init__.py,__init__.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\metadata\base.py,base.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\metadata\pkg_resources.py,pkg_resources.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\metadata\_json.py,_json.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\metadata\__init__.py,__init__.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\metadata\importlib\_compat.py,_compat.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\metadata\importlib\_dists.py,_dists.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\metadata\importlib\_envs.py,_envs.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\metadata\importlib\__init__.py,__init__.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\models\candidate.py,candidate.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\models\direct_url.py,direct_url.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\models\format_control.py,format_control.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\models\index.py,index.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\models\installation_report.py,installation_report.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\models\link.py,link.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\models\pylock.py,pylock.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\models\scheme.py,scheme.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\models\search_scope.py,search_scope.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\models\selection_prefs.py,selection_prefs.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\models\target_python.py,target_python.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\models\wheel.py,wheel.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\models\__init__.py,__init__.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\network\auth.py,auth.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\network\cache.py,cache.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\network\download.py,download.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\network\lazy_wheel.py,lazy_wheel.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\network\session.py,session.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\network\utils.py,utils.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\network\xmlrpc.py,xmlrpc.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\network\__init__.py,__init__.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\operations\check.py,check.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\operations\freeze.py,freeze.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\operations\prepare.py,prepare.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\operations\__init__.py,__init__.py,Error,Error
source\python-packages-1757595213589\source\pip\_internal\operations\build\build_tracker.py,build_tracker.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\operations\build\metadata.py,metadata.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\operations\build\metadata_editable.py,metadata_editable.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\operations\build\metadata_legacy.py,metadata_legacy.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\operations\build\wheel.py,wheel.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\operations\build\wheel_editable.py,wheel_editable.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\operations\build\wheel_legacy.py,wheel_legacy.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\operations\build\__init__.py,__init__.py,Error,Error
source\python-packages-1757595213589\source\pip\_internal\operations\install\editable_legacy.py,editable_legacy.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\operations\install\wheel.py,wheel.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\operations\install\__init__.py,__init__.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\req\constructors.py,constructors.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\req\req_dependency_group.py,req_dependency_group.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\req\req_file.py,req_file.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\req\req_install.py,req_install.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\req\req_set.py,req_set.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\req\req_uninstall.py,req_uninstall.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\req\__init__.py,__init__.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\resolution\base.py,base.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\resolution\__init__.py,__init__.py,Error,Error
source\python-packages-1757595213589\source\pip\_internal\resolution\legacy\resolver.py,resolver.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\resolution\legacy\__init__.py,__init__.py,Error,Error
source\python-packages-1757595213589\source\pip\_internal\resolution\resolvelib\base.py,base.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\resolution\resolvelib\candidates.py,candidates.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\resolution\resolvelib\factory.py,factory.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\resolution\resolvelib\found_candidates.py,found_candidates.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\resolution\resolvelib\provider.py,provider.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\resolution\resolvelib\reporter.py,reporter.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\resolution\resolvelib\requirements.py,requirements.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\resolution\resolvelib\resolver.py,resolver.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\resolution\resolvelib\__init__.py,__init__.py,Error,Error
source\python-packages-1757595213589\source\pip\_internal\utils\appdirs.py,appdirs.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\utils\compat.py,compat.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\utils\compatibility_tags.py,compatibility_tags.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\utils\datetime.py,datetime.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\utils\deprecation.py,deprecation.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\utils\direct_url_helpers.py,direct_url_helpers.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\utils\egg_link.py,egg_link.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\utils\entrypoints.py,entrypoints.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\utils\filesystem.py,filesystem.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\utils\filetypes.py,filetypes.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\utils\glibc.py,glibc.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\utils\hashes.py,hashes.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\utils\logging.py,logging.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\utils\misc.py,misc.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\utils\packaging.py,packaging.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\utils\retry.py,retry.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\utils\setuptools_build.py,setuptools_build.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\utils\subprocess.py,subprocess.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\utils\temp_dir.py,temp_dir.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\utils\unpacking.py,unpacking.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\utils\urls.py,urls.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\utils\virtualenv.py,virtualenv.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\utils\wheel.py,wheel.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\utils\_jaraco_text.py,_jaraco_text.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\utils\_log.py,_log.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\utils\__init__.py,__init__.py,Error,Error
source\python-packages-1757595213589\source\pip\_internal\vcs\bazaar.py,bazaar.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\vcs\git.py,git.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\vcs\mercurial.py,mercurial.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\vcs\subversion.py,subversion.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\vcs\versioncontrol.py,versioncontrol.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_internal\vcs\__init__.py,__init__.py,Vulnerable,CWE-89
source\python-packages-1757595213589\source\pip\_vendor\__init__.py,__init__.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_vendor\cachecontrol\adapter.py,adapter.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_vendor\cachecontrol\cache.py,cache.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_vendor\cachecontrol\controller.py,controller.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_vendor\cachecontrol\filewrapper.py,filewrapper.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_vendor\cachecontrol\heuristics.py,heuristics.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_vendor\cachecontrol\serialize.py,serialize.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_vendor\cachecontrol\wrapper.py,wrapper.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_vendor\cachecontrol\_cmd.py,_cmd.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_vendor\cachecontrol\__init__.py,__init__.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_vendor\cachecontrol\caches\file_cache.py,file_cache.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_vendor\cachecontrol\caches\redis_cache.py,redis_cache.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_vendor\cachecontrol\caches\__init__.py,__init__.py,Vulnerable,CWE-89
source\python-packages-1757595213589\source\pip\_vendor\certifi\core.py,core.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_vendor\certifi\__init__.py,__init__.py,Vulnerable,CWE-89
source\python-packages-1757595213589\source\pip\_vendor\certifi\__main__.py,__main__.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_vendor\dependency_groups\_implementation.py,_implementation.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_vendor\dependency_groups\_lint_dependency_groups.py,_lint_dependency_groups.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_vendor\dependency_groups\_pip_wrapper.py,_pip_wrapper.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_vendor\dependency_groups\_toml_compat.py,_toml_compat.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_vendor\dependency_groups\__init__.py,__init__.py,Vulnerable,CWE-89
source\python-packages-1757595213589\source\pip\_vendor\dependency_groups\__main__.py,__main__.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_vendor\distlib\compat.py,compat.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_vendor\distlib\resources.py,resources.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_vendor\distlib\scripts.py,scripts.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_vendor\distlib\util.py,util.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_vendor\distlib\__init__.py,__init__.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_vendor\distro\distro.py,distro.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_vendor\distro\__init__.py,__init__.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_vendor\distro\__main__.py,__main__.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_vendor\idna\codec.py,codec.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_vendor\idna\compat.py,compat.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_vendor\idna\core.py,core.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_vendor\idna\idnadata.py,idnadata.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_vendor\idna\intranges.py,intranges.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_vendor\idna\package_data.py,package_data.py,Vulnerable,CWE-89
source\python-packages-1757595213589\source\pip\_vendor\idna\uts46data.py,uts46data.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_vendor\idna\__init__.py,__init__.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_vendor\msgpack\exceptions.py,exceptions.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_vendor\msgpack\ext.py,ext.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_vendor\msgpack\fallback.py,fallback.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_vendor\msgpack\__init__.py,__init__.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_vendor\packaging\markers.py,markers.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_vendor\packaging\metadata.py,metadata.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_vendor\packaging\requirements.py,requirements.py,Benign,Benign
source\python-packages-1757595213589\source\pip\_vendor\packaging\specifiers.py,specifiers.py,Benign,Benign
